remark,n,pct_of_populated
Paym,1026518,37.49
Pa,355341,12.978
P,252836,9.234
U,152220,5.559
S,105997,3.871
Sent,104529,3.818
Se,86889,3.173
Paid,82269,3.005
UP,78387,2.863
Pay,68508,2.502
NA,37405,1.366
Payme,35803,1.308
Gold w,31488,1.15
N,28505,1.041
Pai,15745,0.575
P2,15617,0.57
Paymen,15546,0.568
NO R,14723,0.538
Payment,13875,0.507
pay,10218,0.373
Gold,8068,0.295
Sen,7579,0.277
L,6227,0.227
V,5791,0.211
20,5744,0.21
na,5582,0.204
Payment f,5501,0.201
PORD Customer Payment,5401,0.197
BP,5334,0.195
Subscr,4330,0.158
Navi,3388,0.124
Su,3294,0.12
C,3249,0.119
1,2955,0.108
Sent u,2938,0.107
Recu,2752,0.101
PAY,2581,0.094
CH,2556,0.093
Payo,2555,0.093
NO,2299,0.084
2,2159,0.079
s,1902,0.069
B,1832,0.067
n,1791,0.065
Veri,1743,0.064
Subs,1507,0.055
JIO20B,1480,0.054
Co,1473,0.054
Pay f,1276,0.047
Amt shall b,1227,0.045
c,1163,0.042
Upi,1114,0.041
I,1110,0.041
WL,1087,0.04
Up,1073,0.039
Verifi,1021,0.037
00,1018,0.037
Ve,982,0.036
p,978,0.036
MYC,955,0.035
PA,953,0.035
Subsc,891,0.033
Do,881,0.032
Upi Txn,854,0.031
P20,820,0.03
P203,803,0.029
CH20,778,0.028
0,767,0.028
P205,717,0.026
Na,696,0.025
P206,696,0.025
P202,683,0.025
Nav,636,0.023
R,629,0.023
4,628,0.023
Do n,623,0.023
Collec,619,0.023
Collect,616,0.022
6,590,0.022
Paid v,577,0.021
M,555,0.02
remar,554,0.02
Personal,553,0.02
5,530,0.019
P204,525,0.019
17,521,0.019
Re,515,0.019
G1,511,0.019
i,507,0.019
You are,474,0.017
0000,467,0.017
P201,456,0.017
MIN BAL,454,0.017
Execu,452,0.017
WLPS,415,0.015
EXEC,413,0.015
You a,404,0.015
D,387,0.014
P207,379,0.014
000,367,0.013
Sent us,365,0.013
a,353,0.013
FR GOLD LOAN,348,0.013
Payment fr,348,0.013
MINIMUM BALANCE,345,0.013
F,344,0.013
MB,339,0.012
S1,324,0.012
T,324,0.012
3,322,0.012
b,320,0.012
A,313,0.011
9,310,0.011
G,305,0.011
K,303,0.011
Sub,302,0.011
8,302,0.011
ex,291,0.011
7,276,0.01
BIGT,271,0.01
rema,256,0.009
NO RE,255,0.009
REFU,255,0.009
Oidm,254,0.009
ME,247,0.009
W,242,0.009
d,238,0.009
m,229,0.008
CHEQ,215,0.008
26,213,0.008
Reque,212,0.008
JIO20P,211,0.008
Send,210,0.008
compl,209,0.008
u,208,0.008
r,206,0.008
e,205,0.007
GOLD LOAN,199,0.007
Ac,199,0.007
ex00,194,0.007
Invoi,192,0.007
f,188,0.007
Pay20,184,0.007
t,183,0.007
Rec,179,0.007
No,175,0.006
VMH01,173,0.006
o,172,0.006
in,163,0.006
ok,161,0.006
Request,160,0.006
O,154,0.006
k,153,0.006
BD UTIMF,151,0.006
H,151,0.006
Paid vi,146,0.005
P1,145,0.005
JIO20M,145,0.005
P3,144,0.005
No r,141,0.005
IT32,140,0.005
pa,132,0.005
Tr,132,0.005
Decim,131,0.005
Br,130,0.005
loa,130,0.005
ca,129,0.005
Ver,129,0.005
MM,127,0.005
Pl,127,0.005
Col,127,0.005
E,124,0.005
Sent usi,122,0.004
Amazon,122,0.004
REFUN,121,0.004
UPIPay,120,0.004
g,119,0.004
TALA,119,0.004
Amazo,119,0.004
Me,118,0.004
paymen,114,0.004
Ph,112,0.004
P200,112,0.004
re,110,0.004
Upi Tx,110,0.004
RR,110,0.004
h,109,0.004
Pay t,109,0.004
j,105,0.004
food,104,0.004
Recur,103,0.004
JIO20T,102,0.004
l,102,0.004
NO REM,101,0.004
Penn,99,0.004
PC,98,0.004
Ca,98,0.004
CH2,97,0.004
comp,96,0.004
Ra,95,0.003
Tal,94,0.003
b0,92,0.003
com,91,0.003
v,90,0.003
MCRM8,89,0.003
Do no,88,0.003
PAY B,88,0.003
AnnualP,88,0.003
FETCHB,86,0.003
C1,86,0.003
w,85,0.003
Rin,85,0.003
WLPF,84,0.003
Payi,84,0.003
DUP PASS BOOK ISSUE,83,0.003
Fo,83,0.003
BAV,82,0.003
Y,81,0.003
G177,81,0.003
StuCred,80,0.003
Sa,79,0.003
Do not,78,0.003
Mo,78,0.003
MOPSUPI,77,0.003
Ma,77,0.003
tea,77,0.003
MCRM9,73,0.003
TX,73,0.003
Auto,72,0.003
co,72,0.003
